"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"1";2016;15;91;0;0;0;0;0;4;40;1;"1"
"2";2019;13;15;0;0;21;0;0;4;57;1;"1"
"3";2019;11;32;2;0;14;0;0;4;20;1;"1"
"4";2018;12;63;3;1;29;0;0;4;18;1;"1"
"5";2017;15;16;0;0;4;0;0;4;15;1;"1"
"6";2008;28;95;0;0;3;0;0;4;17;1;"1"
"7";2004;20;64;14;20;41;4;7;4;39;1;"1"
"8";2017;8;59;7;9;23;9;9;4;22;1;"1"
"9";2017;9;62;0;2;5;2;2;4;13;1;"1"
"10";2019;11;168;0;0;0;0;0;2;16;1;"1"
"11";2010;20;23;0;0;0;0;0;4;37;1;"1"
"12";2016;9;37;4;10;5;7;7;4;12;1;"1"
"13";2010;14;48;1;11;17;2;3;4;22;1;"1"
"14";2015;31;7;0;0;0;0;0;2;24;1;"1"
"15";2014;23;13;0;0;0;0;0;4;38;1;"1"
"16";2016;6;15;0;4;8;4;4;4;10;1;"1"
"17";2019;16;4;0;0;11;0;0;4;20;1;"1"
"18";2019;7;10;3;0;43;0;0;4;19;1;"1"
"19";2018;29;16;1;0;6;0;0;4;19;1;"1"
"20";2019;8;4;0;0;4;0;0;4;43;1;"1"
"21";2018;8;20;0;0;4;0;0;4;32;1;"1"
"22";2015;10;32;0;0;9;0;0;4;20;1;"1"
"23";2019;14;90;0;0;0;0;0;2;7;1;"1"
"24";2017;8;8;3;1;39;0;0;4;16;1;"1"
"25";2006;12;173;0;67;28;17;24;4;49;1;"1"
"26";2018;11;11;0;0;3;0;0;4;34;1;"1"
"27";2019;7;13;1;0;5;0;0;4;23;1;"1"
"28";2015;8;137;0;2;0;2;2;4;19;1;"1"
"29";2018;18;8;0;0;5;0;0;4;15;1;"1"
"30";2014;20;8;1;0;14;0;0;4;8;1;"1"
"31";2019;10;83;0;0;0;0;0;4;12;1;"1"
"32";2018;2;173;9;3;22;1;1;4;17;1;"1"
"33";2014;11;13;0;5;14;1;3;4;11;1;"1"
"34";2015;6;47;0;2;31;0;0;4;5;1;"1"
"35";2011;19;19;2;0;28;0;0;4;14;1;"1"
"36";2019;8;43;0;0;0;0;0;4;14;1;"1"
"37";2006;13;171;1;88;33;19;25;4;45;1;"1"
"38";2018;11;8;2;1;19;1;1;4;20;1;"1"
"39";2015;5;59;0;0;0;0;0;2;25;1;"1"
"40";2020;2;5;0;0;9;0;0;4;42;1;"1"
"41";2015;9;47;0;10;11;8;8;4;6;1;"1"
"42";2008;7;191;3;62;93;23;29;4;15;1;"1"
"43";2019;7;15;0;0;4;0;0;4;42;1;"1"
"44";2015;16;25;22;1;46;1;1;4;23;1;"1"
"45";2016;4;9;0;4;58;0;0;4;20;1;"1"
"46";2012;8;26;0;2;8;2;2;4;8;1;"1"
"47";2014;17;28;0;2;9;1;2;4;20;1;"1"
"48";2005;6;122;0;72;10;29;41;4;50;1;"1"
"49";2011;18;16;0;6;17;4;5;4;24;1;"1"
"50";2006;16;38;1;18;49;11;11;4;16;1;"1"
"51";2017;3;46;0;0;12;0;0;4;20;1;"1"
"52";2006;5;61;0;20;17;4;4;4;19;1;"1"
"53";2018;7;20;1;18;19;15;15;4;28;1;"1"
"54";2019;16;3;0;0;0;0;0;2;21;1;"1"
"55";2018;9;5;5;0;33;0;0;4;33;1;"1"
"56";2014;9;92;0;0;10;0;0;4;2;1;"1"
"57";2005;17;34;0;0;6;0;0;4;47;0;"1"
"58";2019;14;5;0;0;42;0;0;4;10;1;"1"
"59";2018;13;33;1;0;6;0;0;2;74;1;"1"
"60";2018;6;92;1;1;22;0;0;4;4;1;"1"
"61";2018;8;8;0;3;2;3;3;1;18;1;"1"
"62";2016;4;6;1;0;16;0;0;4;9;1;"1"
"63";2015;10;12;0;0;3;0;0;4;25;0;"1"
"64";2019;10;3;2;0;27;0;0;4;11;1;"1"
"65";2019;5;1;0;0;0;0;0;2;45;1;"1"
"66";2019;5;93;0;0;0;0;0;4;11;1;"1"
"67";2018;7;11;0;0;12;0;0;4;10;1;"1"
"68";2003;7;32;1;26;15;2;3;4;22;1;"1"
