Publication.Number;Publication.Year;IPC;Main.IPC.Subclass;Simple.Family;Count.of.Simple.Family.Members;Simple.Family.Cited.by.Count;Count.of.Other.References;Count.of.Cited.by.Patents;Count.of.Cites.Patents;Count.of.Cited.by.Patents.Within.3.years;Count.of.Cited.by.Patents.Within.5.years;Simple.Legal.Status;Count.of.claims;Quality.of.Family;Classifier
CA2637106C;2015;G05B13/04 | B64C39/00;G05B;AU2008203135A1 | AU2008203135B2 | CA2637106A1 | CA2637106C | EP2037339A2 | EP2037339A3 | EP2037339B1 | JP2009069824A | JP5455339B2 | KR101492271B1 | KR1020090028405A | RU2008136697A | RU2481612C2 | US20090076665A1 | US8019447;15;91;0;0;0;0;0;Active;40;High;Strong
JP6355057B2;2018;B64C27/20 | B64C27/08 | B64C39/00 | B64C39/02 | B64D27/24;B64C;JP2017047878A | JP2017047893A | JP2017047894A | JP2017047895A | JP2017047896A | JP2017047897A | JP6037190B1 | JP6191934B2 | JP6273657B2 | JP6312038B2 | JP6355057B2 | US10131422 | US20170029097A1;13;15;0;0;21;0;0;Active;57;High;Strong
US9977431;2018;G05D1/02 | B64C39/02 | G05D1/00 | G08G1/09;G05D;CN105302152A | DE102015110812A1 | MX2015009073A | RU2015128817A | US20160016663A1 | US20160347452A1 | US20170139420A1 | US20170139421A1 | US9409644 | US9555885 | US9977431;11;32;2;0;14;0;0;Active;20;High;Strong
US9817405;2017;G05D1/00 | G05D1/06 | G06Q10/08 | B64C39/00 | G08G5/00;G05D;CN103914076A | CN103914076B | EP3125064A1 | EP3125064A4 | EP3125064B1 | ES2657192T3 | JP2017517425A | JP6144850B1 | PL3125064T3 | US20170139424A1 | US9817405 | WO2015143977A1;12;63;3;1;29;0;0;Active;18;High;Strong
KR101636447B1;2016;B64D1/22 | B64C27/22 | B64C39/00 | A62B1/06;B64D;AT490175T | CN101628624A | CN101628624B | DE602008003783D1 | EP2143633A1 | EP2143633B1 | JP2010018274A | JP5543143B2 | KR101636447B1 | KR1020100007782A | PT2143633E | RU2009126104A | RU2500579C2 | US20100096508A1 | US8292229;15;16;0;0;4;0;0;Active;15;High;Strong
AU2003218686B2;2007;B64D | B64C | B66F19/00 | B64C29/00 | B64C27/20 | B64C13/20 | B66F | B64D1/22 | B64C39/02 | B64C39/00 | B64C27/00 | F16L37/44;B64D;AR038738A1 | AT343756T | AU2003218686A1 | AU2003218686B2 | BRPI0308012A2 | CA2476749A1 | CA2476749C | CN100343120C | CN1639500A | DE10209881A1 | DE50305485D1 | DK1483526T3 | EP1483526A1 | EP1483526B1 | ES2271545T3 | HK1071418A1 | JP2005526651A | JP2009057044A | KR100612722B1 | KR1020040094707A | PL209400B1 | PL370665A1 | PT1483526E | US20050061910A1 | US20080006737A1 | US7364114 | WO2003074924A1 | WO2003074924A8;28;95;0;0;3;0;0;Active;17;High;Strong
US6559447;2003;B64C39/00 | B64C39/02 | G01J5/20 | G01J5/02 | G01J5/26 | H04N5/33 | H04N5/217 | H04N5/225 | G01J1/02 | G01J1/44 | G01J5/10 | G01J5/48 | H04N5/361 | H04N5/365 | H04N3/09;B64C;AT536535T | AU2002245174A1 | CN100414274C | CN101158603A | CN101158603B | CN1492993A | EP1348109A2 | EP1767912A2 | EP1767912A3 | EP1767912B1 | IL156658A | IL156658D0 | JP2004526948A | KR100876459B1 | KR1020030063477A | TW528861B | US20030057371A1 | US6559447 | WO2002052233A2 | WO2002052233A3;20;64;14;20;41;4;7;Active;39;High;Strong
US9275645;2016;G10L19/00;G10L;US20150302858A1 | US20160086621A1 | US20160118059A1 | US20160189732A1 | US9275645 | US9697850 | US9704508 | US9858947;8;59;7;9;23;9;9;Active;22;High;Strong
RU2597047C2;2016;G08G5/04 | G05D1/12 | B64C39/00;G08G;CN102637038A | CN102637038B | DE102011010679A1 | EP2485107A2 | EP2485107A3 | RU2012103928A | RU2597047C2 | US20120203450A1 | US9037391;9;62;0;2;5;2;2;Active;13;High;Strong
US20180281944A1;2018;B64C37/00 | B64C27/57 | B64C11/00 | B64C27/32 | B64C27/52 | B64C3/56 | B64C27/22 | B64D25/00 | B64D17/80 | B64C29/00 | G05D1/10 | B64C27/20 | B64C39/02 | B64C27/08 | B64C25/58 | B64C39/00 | B60F5/02 | B64C3/38;B64C;US20110315806A1 | US20150217613A1 | US20170096221A1 | US20170210469A1 | US20180281944A1 | US9045226 | US9393847 | US9610817 | US9944389 | WO2011146349A2 | WO2011146349A3;11;168;0;0;0;0;0;Pending;16;High;Strong
NZ569455A;2009;B64C11/00 | B64C9/06 | B64C29/00 | B64C39/00 | B64C39/02 | B64D33/10;B64C;AU2009263090A1 | AU2009263090B2 | BRPI0914967A2 | CA2731205A1 | CA2731205C | CN102076560A | EA019604B1 | EA201100117A1 | EP2303689A1 | EP2303689A4 | EP2303689B1 | IL209906D0 | JP2011525878A | JP5510872B2 | KR101643660B1 | KR1020110039447A | NZ569455A | US20110139939A1 | US8608103 | WO2009157780A1;20;23;0;0;0;0;0;Active;37;High;Strong
US9096312;2015;B64C3/28 | B64C11/00 | B64C9/18 | B64D27/10 | B64D27/24 | B64C39/00 | B64C3/00 | B64C23/00;B64C;BR102014029696A2 | CA2870506A1 | CN104670503A | CN104670503B | EP2878538A1 | EP2878538B1 | GB201320988D0 | US20150144742A1 | US9096312;9;37;4;10;5;7;7;Active;12;High;Strong
US7594625;2009;B64C39/00 | B64C11/16 | B64C21/02 | B64C27/467 | B64C29/00;B64C;AU2003210634A1 | BRPI0317808A2 | CA2505007A1 | CA2505007C | CN100372735C | CN1714022A | DE3815629T1 | DE60321390D1 | EP1585665A1 | EP1585665A4 | EP1585665B1 | US20060239824A1 | US7594625 | WO2004067380A1;14;48;1;11;17;2;3;Active;22;High;Strong
CA2898493A1;2014;B64C1/00 | B64C1/06 | B64C39/00;B64C;CA2898470A1 | CA2898471A1 | CA2898490A1 | CA2898492A1 | CA2898493A1 | EP2945858A1 | EP2945858A4 | EP2945859A1 | EP2945859A4 | EP2945861A2 | EP2945861A4 | EP2945862A1 | EP2945862A4 | EP2945863A1 | EP2945863A4 | US20140197272A1 | US20140197274A1 | US20140197275A1 | US20140197276A1 | US20140197277A1 | US9090324 | US9284034 | US9308988 | US9308989 | US9533755 | WO2014113426A1 | WO2014113435A1 | WO2014113458A1 | WO2014113464A1 | WO2014168661A2 | WO2014168661A3;31;7;0;0;0;0;0;Pending;24;High;Strong
CN101440554B;2013;B29C70/16 | B29C70/14 | B29C70/18 | D05B21/00 | D05B37/00 | B64C39/00;B29C;AU2008327883A1 | AU2008327883B2 | BRPI0820384A2 | CA2713941A1 | CA2713941C | CN101440554A | CN101440554B | DE102007055684A1 | EP2219852A1 | EP2219852B1 | IL205736A | IL205736D0 | JP2011504148A | JP5550560B2 | KR1020100112556A | MX2010005561A | RU2010125009A | RU2479427C2 | TW200938365A | US20100263504A1 | US8915201 | WO2009065896A1 | ZA201003597B;23;13;0;0;0;0;0;Active;38;High;Strong
US9132807;2015;B08B7/04 | G08G1/04 | G05D1/02 | B60S3/04 | G08G1/042 | B62D15/02 | B60W30/12 | B64F1/00 | B64D37/00 | B08B1/00 | G01C22/00 | B64C39/00 | B60S3/00 | B08B3/02 | B08B3/00;B08B;CN103592942A | CN103592942B | DE102012016039A1 | EP2698293A2 | US20140048104A1 | US9132807;6;15;0;4;8;4;4;Active;10;High;Strong
EP3016727B1;2018;A63H27/127 | B64C27/20 | B64C29/00 | B64C39/00 | B60V1/04 | B60V3/06 | B64C39/06 | A63H27/00;A63H;AU2014286921A1 | AU2014286921B2 | CA2914838A1 | CA2914838C | CN105407993A | CN105407993B | EP3016727A1 | EP3016727A4 | EP3016727B1 | HK1219072A | IL243423D0 | JP2016527124A | JP6357707B2 | US20160152338A1 | US9969493 | WO2015000028A1;16;4;0;0;11;0;0;Active;20;High;Strong
US10106253;2018;B64C27/82 | B64C29/00 | B64C39/00 | B64C27/52 | B64C27/28;B64C;CA2976237A1 | CA2976237C | CN107792357A | EP3290336A1 | EP3290336B1 | US10106253 | US20180057157A1;7;10;3;0;43;0;0;Active;19;High;Strong
EP2858898B1;2017;B64C39/00;B64C;AU2013309464A1 | AU2013309464B2 | AU2016204934A1 | AU2016204934B2 | AU2016204935A1 | AU2016204935B2 | AU2018204872A1 | CA2878615A1 | CA2878615C | CA3044451A1 | CN104540733A | CN104540733B | CN106347662A | DK2858898T3 | EP2858898A2 | EP2858898A4 | EP2858898B1 | EP3156327A1 | IN133DELNP2015A | JP2015522467A | JP2018039508A | JP2019089550A | JP6243410B2 | JP6479935B2 | KR1020150036016A | SG11201500073VA | US20160347476A1 | WO2014035518A2 | WO2014035518A3;29;16;1;0;6;0;0;Active;19;High;Strong
GB2549161B;2018;B25J11/00 | B64C39/00;B25J;CN107275976A | DE102016124311A1 | DE202016008156U1 | GB201621151D0 | GB2549161A | GB2549161B | US9753461 | WO2017176324A1;8;4;0;0;4;0;0;Active;43;High;Strong
AU2014200597B2;2017;B64B1/08 | B64B1/20 | B64C39/00;B64B;AU2014200597A1 | AU2014200597B2 | CN104029811A | CN104029811B | EP2774838A2 | EP2774838A3 | US20140251743A1 | US9045218;8;20;0;0;4;0;0;Active;32;High;Strong
EP2274204B1;2014;B64C29/02 | B64C15/02 | B64C39/00 | B64C7/00 | B64C27/20 | B64D33/04 | F04D29/30;B64C;AU2009243923A1 | AU2009243923B2 | CN102083688A | CN102083688B | EP2274204A1 | EP2274204A4 | EP2274204B1 | US20110155860A1 | US8646721 | WO2009135260A1;10;32;0;0;9;0;0;Active;20;High;Strong
US20180321691A1;2018;G05D1/08 | B60V1/06 | G05D1/00 | B64D27/24 | B60V1/10 | B64C15/02 | B64C27/08 | B64C39/02 | B64C39/00 | B64C27/20;G05D;AU2003304119A1 | AU2003304119A8 | US20060144994A1 | US20080223993A1 | US20110204187A1 | US20160001882A1 | US20170010622A1 | US20180321691A1 | US7931239 | US9073532 | US9645580 | US9904292 | WO2004101357A2 | WO2004101357A3;14;90;0;0;0;0;0;Pending;7;High;Strong
US9511848;2016;B64C39/00 | B64C21/02 | B64C3/26 | B64C21/06;B64C;CN103025607A | CN103025607B | EP2558362A1 | EP2558362B1 | ES2689399T3 | US20140021304A1 | US9511848 | WO2011128069A1;8;8;3;1;39;0;0;Active;16;High;Strong
US6885917;2005;B64C27/24 | B64C27/00 | B64C39/12 | B64C27/18 | B64C39/00 | G05D1/08 | G06F19/00 | G06F7/00;B64C;AT480454T | AU2003286932A1 | DE60334152D1 | EP1587733A2 | EP1587733B1 | ES2349731T3 | JP2006513890A | JP4412545B2 | US20040093130A1 | US6885917 | WO2004043781A2 | WO2004043781A3;12;173;0;67;28;17;24;Active;49;High;Strong
AU2016250346B2;2017;B64C39/00 | B64C11/00 | B64D29/00;B64C;AU2016250346A1 | AU2016250346B2 | CN106608354A | CN106608354B | EP3168148A1 | EP3168148B1 | JP2017081544A | JP6296369B2 | KR101607816B1 | KR1020150127557A | US20170113798A1;11;11;0;0;3;0;0;Active;34;High;Strong
EP2613050B1;2018;F03H1/00 | H05H1/24 | B64C39/00;F03H;EP2613050A2 | EP2613050A3 | EP2613050B1 | US20130175405A1 | US20160169214A1 | US8944370 | US9670913;7;13;1;0;5;0;0;Active;23;High;Strong
EP2702382A2;2014;G01M5/00 | G01C11/00 | G01N25/72 | G05D1/02 | G06T7/00 | F03D11/00 | B64C39/00;G01M;DE102011017564A1 | DE102011017564B4 | DK2702382T3 | EP2702382A2 | EP2702382B1 | US20140168420A1 | WO2012145780A2 | WO2012145780A3;8;137;0;2;0;2;2;Active;19;High;Strong
GB2534435B;2017;B64C3/56 | B64C39/00;B64C;AU2016201635A1 | AU2016201635B2 | CA2922155A1 | CA2922155C | DK3130535T3 | EP3130535A1 | EP3130535B1 | ES2678407T3 | GB201514386D0 | GB2534435A | GB2534435B | IL244425A | IL244425D0 | JP2017036028A | JP6064065B1 | PL3130535T3 | US9452820 | WO2017025704A1;18;8;0;0;5;0;0;Active;15;High;Strong
US8464977;2013;B64C39/00;B64C;AU2008298461A1 | AU2008298461B2 | BRPI0815989A2 | CA2699486A1 | CA2699486C | CN101855133A | CN101855133B | EP2202148A1 | EP2202148A4 | EP2202148B1 | ES2450995T3 | JP5290976B2 | JPWO2009034805A1 | KR1020100054158A | MY154426A | RU2010114731A | RU2441810C2 | US20100213308A1 | US8464977 | WO2009034805A1;20;8;1;0;14;0;0;Active;8;High;Strong
CA2837160C;2018;F03D9/30 | B64C31/00 | B64C39/00 | B64F3/00;F03D;CA2837160A1 | CA2837160C | EP2715126A1 | EP2715126A4 | EP2715126B1 | JP2014516005A | JP5816744B2 | US20120298793A1 | US9109575 | WO2012162421A1;10;83;0;0;0;0;0;Active;12;High;Strong
US9731821;2017;B64C39/00 | G05D1/00 | B64C39/02 | G05D1/10;B64C;US20160068265A1 | US9731821;2;173;9;3;22;1;1;Active;17;High;Strong
US8528855;2013;B64C39/00;B64C;BRPI1107114A2 | CN102616376A | CN102616376B | DE102010055676A1 | EP2468628A2 | EP2468628A3 | EP2468628B1 | RU2011152243A | RU2570741C2 | US20120160955A1 | US8528855;11;13;0;5;14;1;3;Active;11;High;Strong
US8910903;2014;B64C15/00;B64C;CN101602404A | CN101602404B | US20110001000A1 | US20130306803A1 | US8448892 | US8910903;6;47;0;2;31;0;0;Active;5;High;Strong
US7722470;2010;A63G31/16 | A63G1/00 | A63G31/00 | B64C39/00;A63G;AT413217T | AU2003267408A1 | CN100368044C | CN1684748A | DE10245351A1 | DE50310752D1 | EP1549405A2 | EP1549405B1 | ES2316793T3 | JP2006515542A | JP4359239B2 | RU2005112724A | RU88177U1 | US20060058106A1 | US20090143153A1 | US7465236 | US7722470 | WO2004030783A2 | WO2004030783A3;19;19;2;0;28;0;0;Active;14;High;Strong
CA2793114C;2018;B64C3/56 | B64C5/12 | B64C9/34 | B64C39/00;B64C;CA2793114A1 | CA2793114C | EP2604510A2 | EP2604510A3 | US20130146716A1 | US20160176503A1 | US8946607 | US9533758;8;43;0;0;0;0;0;Active;14;High;Strong
US6874729;2005;B64C25/00 | B64C25/68 | B64F1/04 | B64D3/00 | B64F1/10 | B64F1/00 | B64C39/00 | B64C39/02 | B64F1/02;B64C;US20050017129A1 | US20070108345A1 | US20110011974A1 | US20110127378A1 | US20140231585A1 | US20150329218A1 | US6874729 | US7097137 | US8167242 | US8517306 | US8567718 | US8864069 | US9669946;13;171;1;88;33;19;25;Active;45;High;Strong
US9738394;2017;G01C23/00 | B64C19/00 | B64D37/00 | G08G5/00 | B64C13/20 | B64C39/00 | B64D45/00 | B65B1/30 | G08G1/00 | B64C39/02;G01C;AU2014311348A1 | AU2014311348B2 | CA2919024A1 | EP3001876A1 | EP3001876B1 | JP2016535905A | US20150066253A1 | US20160101872A1 | US9248915 | US9738394 | WO2015031383A1;11;8;2;1;19;1;1;Active;20;High;Strong
CA2844885A1;2014;B64F3/00 | B64C39/00;B64F;CA2844885A1 | US10023308 | US20140259549A1 | US8931144 | US9272782;5;59;0;0;0;0;0;Pending;25;High;Strong
